age,fnlwgt,education-num,sex,capital-gain,capital-loss,hours-per-week,income,epoch,alpha_
0.10309278350515463,0.46343063061318823,0.16666666666666666,,,,0.14084507042253522,0.0,250,0
0.0759493670886076,1.2473694689926635,0.09523809523809523,0.0,,,0.16216216216216217,0.0,250,0
0.06779661016949153,0.7073644067796611,0.0,0.0,,,0.09523809523809523,,250,0
0.25806451612903225,0.3038632027428309,0.0,,,,0.1016949152542373,,250,0
0.05128205128205128,0.5487996844825618,0.0,0.0,,,0.11494252873563218,,250,0
0.0821917808219178,0.33458091699684217,0.09523809523809523,0.0,,,0.08,,250,0
0.10810810810810811,0.0,0.5454545454545454,0.0,,,0.27586206896551724,,250,0
0.12048192771084337,0.014253596769254527,0.13333333333333333,0.0,,,0.06896551724137931,0.0,250,0
0.14285714285714285,0.2930153426798465,0.09523809523809523,0.0,,,0.03508771929824561,,250,0
0.07692307692307693,1.6670167711333221,0.11764705882352941,0.0,,,0.18181818181818182,,250,0
0.03389830508474576,0.5579289940828402,0.0,0.0,,,0.16216216216216217,,250,0
0.0,1.4400125188400306,0.0,0.0,,,0.2535211267605634,,250,0
0.1276595744680851,0.48788675350974553,0.0,,,,0.12244897959183673,,250,0
0.0,0.3008466892636454,0.0,,,,0.2545454545454545,,250,0
0.05714285714285714,0.9105358821685992,0.0,,,,0.03508771929824561,,250,0
0.0273972602739726,0.28371134020618555,0.0,0.0,,,0.0,,250,0
0.06289308176100629,1.4348931080879055,0.10526315789473684,,,,0.4166666666666667,,250,0
0.0,0.057949505114885856,0.10526315789473684,0.0,,,0.15730337078651685,,250,0
0.04081632653061224,0.607847430457196,0.4,0.0,,,0.47368421052631576,,250,0
0.12844036697247707,0.49363633751831526,0.11764705882352941,,,,0.05714285714285714,,250,0
0.09900990099009901,0.6213265476231666,0.06896551724137931,,,,0.14084507042253522,,250,0
0.20224719101123595,0.352193774455717,0.08,0.0,,,0.22727272727272727,0.0,250,0
0.058823529411764705,0.7076963222201756,0.07407407407407407,,,,0.09523809523809523,,250,0
0.08,0.5297634561465862,0.10526315789473684,,,,0.05,,250,0
