age,fnlwgt,education-num,sex,capital-gain,capital-loss,hours-per-week,income,epoch,alpha_
0.0,0.0,0.0,,,,0.0,0.0,250,0
0.0,0.0,0.0,0.0,,,0.0,0.0,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,0.0,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,0.0,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,0.0,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,0.0,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,0.0,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,0.0,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,0.0,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,0.0,250,0
0.0,0.0,0.0,0.0,,,0.0,0.0,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,0.0,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,0.0,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,0.0,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,0.0,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
0.0,0.0,0.0,,,,0.0,,250,0
0.0,0.0,0.0,0.0,,,0.0,,250,0
